Date,Open,High,Low,Close,Volume
7/22/2024,321.6789601,326.2400797,314.9573102,316.2824402,360490
7/23/2024,316.8778286,322.6488554,316.3977106,319.019165,241655
7/24/2024,322.6392147,323.8395094,318.9903305,321.6117554,151563
7/25/2024,321.678995,323.5994666,316.877816,317.2811279,285598
7/26/2024,316.8777982,319.7585055,315.9175625,316.7817688,185186
7/29/2024,313.0464672,319.2783878,313.0464672,314.8517151,304169
7/30/2024,316.8777968,317.7900325,315.9079494,316.7625732,221434
7/31/2024,313.9874984,320.2386429,313.1329038,318.5870361,315092
8/1/2024,316.8969855,319.2303806,315.9175556,317.6651917,97376
8/2/2024,316.0231704,319.7585015,316.0231704,318.9807129,51779
8/5/2024,318.7982625,318.7982625,315.8407493,316.378479,154363
8/6/2024,316.8777991,320.4786831,314.0931212,319.6720886,379824
8/7/2024,320.0753963,325.0398284,320.0753963,321.8614502,180795
8/8/2024,318.798282,322.5624192,318.798282,320.4306946,55640
8/9/2024,319.7681256,324.5596927,319.7681256,322.6392212,107417
8/12/2024,321.6981664,324.5596794,316.8681818,318.3373413,87136
8/13/2024,317.8380166,319.7200704,316.8777809,318.8366699,59291
8/15/2024,318.7982867,323.5994657,317.8380509,319.8449402,112687
8/16/2024,319.8545353,320.7187417,316.8777987,319.3456116,382184
8/19/2024,319.7584992,320.7187349,315.4374384,319.2783813,357612
8/20/2024,319.2783827,319.7585006,315.4470515,319.2975769,355942
8/21/2024,319.2783974,321.6693751,317.8380437,319.4416504,717723
8/22/2024,318.7982894,320.7187611,314.4772283,315.3798523,230906
8/23/2024,315.9175742,316.3016626,311.8845721,312.0958252,235057
8/26/2024,313.0272255,314.8324733,305.2589222,306.6608582,216758
8/27/2024,308.2357039,308.2357039,298.6333455,299.4303284,210636
8/28/2024,299.4303015,305.5470278,299.4303015,304.5963745,316791
8/29/2024,304.6348001,317.3579241,304.6348001,316.8586121,668844
8/30/2024,316.8777946,324.2716215,315.437441,317.0602417,684961
9/2/2024,317.955774,317.955774,309.9847321,311.874176,183396
9/3/2024,312.9369477,313.8718342,310.0831262,311.6182861,47866
9/4/2024,312.8385432,316.873271,311.9528786,314.8952637,137763
9/5/2024,314.9149564,319.8156479,311.9528707,317.1488037,154141
9/6/2024,316.8732725,317.857351,313.921037,314.8067017,152037
9/9/2024,314.9051232,316.8240883,309.8863168,311.7363892,205934
9/10/2024,312.3957215,319.8255019,309.9847173,313.6651611,301504
9/11/2024,313.0648729,314.8952444,310.1421588,311.785553,52643
9/12/2024,313.9210427,313.9210427,310.0043995,312.7303162,176080
9/13/2024,317.8573326,317.8573326,310.9687836,312.5137939,185441
9/16/2024,312.5236184,314.3146484,309.7977319,310.0732727,124734
9/17/2024,310.0732727,310.0732727,310.0732727,310.0732727,0
9/18/2024,312.838541,313.0353687,308.7546214,310.7227783,327095
9/19/2024,312.444911,317.8573426,310.7719657,313.8423157,990994
9/20/2024,314.4130812,317.8573559,312.8483999,315.8104858,1870674
9/23/2024,315.8891843,316.8732628,310.0831274,315.2003174,626961
9/24/2024,313.08457,316.8634278,310.9688072,312.2776184,586709
9/25/2024,312.9369662,314.0096081,308.0165736,311.962738,760724
9/26/2024,313.921017,315.3479428,308.9219119,309.3844299,430917
9/27/2024,313.4290041,313.4290041,302.1317721,304.2573853,453855
9/30/2024,305.0741697,306.0483978,297.9592717,298.8843079,386413
10/1/2024,297.2999231,300.1439242,297.2999231,299.2877808,2552323
10/2/2024,299.1598596,305.0643305,297.201553,303.7948608,544603
10/3/2024,305.9401542,309.2466432,304.1983162,306.8454895,308926
10/4/2024,307.5245289,309.4926859,306.0484112,308.4200439,552022
10/7/2024,309.9650388,319.7270801,305.0643173,317.4144897,1863494
10/8/2024,319.8255107,322.2857069,318.8414322,320.4750061,670233
10/9/2024,320.4750061,320.4750061,320.4750061,320.4750061,0
10/10/2024,317.8573443,319.8255012,314.9051089,316.7453308,1244761
